area;location;price;rooms;square_price;source;title
76;Opština Vračar , Hram svetog Save , Svetog Save;290000;2.0;3816;halooglasi;Plato Hrama Svetog Save, Vračar, 76m2
55;Opština Zemun , Altina , Ugrinovački put 8. deo;104500;2.0;1900;halooglasi;Zemun, Altina, 2.0
160;Opština Savski venac , Dedinje , Mihaila Avramovića;608000;4.0;3800;halooglasi;Četvorosoban stan, Beograd, Dedinje
108;Opština Zemun , Batajnica , Žarka Bokuna;150000;3.0;1389;halooglasi;Batajnica 83+25+ dvorište 2ara  - kuće u nizu,
55;Opština Rakovica , Centar , Pilota Mihaila Petrovića;126000;2.5;2291;halooglasi;Kod Premijera, Pilota Mihaila Petrovića, mereno 70
67;Opština Zvezdara , Đeram pijaca , Đuke Dinić;175000;3.5;2612;halooglasi;Zvezdara, 67m2, garaža ID#7338
106;Opština Stari grad , Skupština , Vlajkovićeva;370000;4.0;3491;halooglasi;Skupština, Vlajkovićeva, 106m2 ID#7420
76;Opština Savski venac , Beograđanka , Admirala Geprata;289000;3.0;3803;halooglasi;Centar, Admirala Geprata, 76m2, sa parking mestom
44;Opština Vračar , Krunski venac , Hadži Prodanova;147900;2.0;3361;halooglasi;Vračar, Hadži Prodanova, salonac, 44m2 ID#7436
94;Opština Voždovac , Medaković 3 , Borivoja Stevanovića;240000;4.0;2553;halooglasi;Prelep, delimično renovoviran stan ID#7501
55;Opština Palilula , Karaburma , Husinskih rudara;104000;2.0;1891;halooglasi;Stan u mirnom delu Karaburme, mereno 68m2 ID#7522
74;Opština Novi Beograd , Blok 61 , Dr Ivana Ribara;184000;3.0;2486;halooglasi;Novi Beograd, 74m2 + 6m2 lođa ID#7560
97;Opština Vračar , Crveni krst , Metohijska;350000;4.0;3608;halooglasi;Crveni krst, lux stan 97m2 ID#7563
41;Opština Voždovac , Lekino brdo , Varvarinska;145000;2.0;3537;halooglasi;Lekino brdo, 2.0 stan ID#7566
66;Opština Vračar , Pravni fakultet , Prote Mateje;235000;3.5;3561;halooglasi;Vračar, salonac, mereno 70m2 ID#7589
89;Opština Vračar , Kalenić pijaca , Mileševska;320000;3.5;3596;halooglasi;Vračar, na odličnoj lokaciji ID#7642
100;Opština Vračar , Centar , Resavska;380000;3.0;3800;halooglasi;Izuzetna mikrolokacija ID#7684
51;Opština Voždovac , Naselje Stepa Stepanović , Generala Štefanika;165000;2.5;3235;halooglasi;Naselje Stepa Stepanović, 51m2 ID#7714
30;Opština Novi Beograd , Blok 62 , Jurija Gagarina;98000;1.5;3267;halooglasi;Novi Beograd, 30m2 ID#7715
97;Opština Novi Beograd , Bežanijska kosa 2 , Marka Čelebonovića;265000;3.5;2732;halooglasi;Bežanijska kosa, Marka Čelebonovića, 97m2 ID#7730
91;Opština Zemun , Batajnica , Kneza Paskača;119000;4.0;1308;halooglasi;Batajnica, uknjižen, funkcionalan 4s ID#7731
51;Opština Mladenovac , Mladenovac (mesto) , Momčila Živojinovića;59000;1.5;1157;halooglasi;Novogradnja  - akcijska ponuda! Bez provizije!
55;Opština Zemun , Altina , Ugrinovački put 8. deo;95000;2.0;1727;halooglasi;Zemun, Altina, 2.0
84;Opština Novi Beograd , Blok 64 , Gandijeva;205000;3.5;2440;halooglasi;Blok 64, Gandijeva
44;Opština Zvezdara , Konjarnik , Blagajska;102000;1.5;2318;halooglasi;Konjarnik Blagajska
39;Opština Stari grad , Centar , Cara Lazara;118000;1.0;3026;halooglasi;Srce grada -pešačka zona - direkt od vlasnika
37;Opština Novi Beograd , Hotel Jugoslavija , Aleksinačkih rudara;120000;1.0;3243;halooglasi;Hotel Yu, Aleksinačkih rudara
53;Opština Zemun , Save Kovačevića , Slikarska;108000;3.0;2038;halooglasi;Slikarska, Naselje Sava Kovačević, Zemun
122;Opština Voždovac , Vojvode Stepe , Vojvode Stepe;320000;4.0;2623;halooglasi;Vojvode Stepe, 122m2 i 3 parking mesta
133;Opština Novi Beograd , Bežanijska kosa 2 , Marka Čelebonovića;310000;4.5;2331;halooglasi;Bežanijska kosa, komforan stan, mereno 135m2 ID#77
47;Opština Palilula , Karaburma , Ćustendilska;108500;2.5;2309;halooglasi;Karaburma, lux novogradnja 47m2 ID#7749
42;Opština Novi Beograd , Ledine , Danice Kojić;75000;1.0;1807;halooglasi;Stan Ledine - Hitna prodaja
53;Opština Novi Beograd , Blok 63 , Jurija Gagarina;230000;3.0;4340;halooglasi;Jurija Gagarina, Blok 63, Novi Beogard
78;Opština Novi Beograd , Hotel Jugoslavija , Aleksinačkih rudara;215000;2.5;2756;halooglasi;Novi Beograd, Hotel Jugoslavija - Aleksinačkih rud
87;Opština Novi Beograd , Blok 38 , Bulevar Arsenija Čarnojevića;219000;3.5;2517;halooglasi;Blok 38, 87kvm+L, dvostran, funkcionalan
49;Opština Palilula , Karaburma , Husinskih rudara;127000;2.0;2592;halooglasi;Karaburma stara okretnica 49m2+10m2 terasa.
51;Opština Zemun , Zemun polje , Михајла Пупина 17;85000;2.0;1667;halooglasi;Продајем  двособан стан 51м2, укњижен.
71;Opština Rakovica , Stari Košutnjak , Pere Velimirovića;170000;2.5;2394;halooglasi;Stari Košutnjak - Pere Velimirovića 71kvm
103;Opština Vračar , Čubura , Čuburska;350000;3.0;3398;halooglasi;Odličan stan nadomak Hrama, Čuburska, 103m2 ID#119
96;Opština Stari grad , London , Kneza Miloša;285000;4.0;2969;halooglasi;Dvor, četvorosoban salonac, renoviran! ID#1317
59;Opština Zvezdara , Konjarnik , Rudo;126000;2.0;2136;halooglasi;Odlična ponuda, stan, 59m2, Rudo, Konjarnik ID#122
93;Opština Palilula , Karaburma , Prominska;210000;3.0;2258;halooglasi;Karaburma - Prominska
61;Opština Novi Beograd , Ledine , Surčinski put;109800;2.5;1800;halooglasi;Novogradnja-uknjizeno-odmah useljivo
91;Opština Novi Beograd , Hotel Jugoslavija ,;370000;4.0;4066;halooglasi;Prelep lux stan u novogradnji
57;Opština Novi Beograd , Blok 2 , Pariske komune;173500;2.0;3044;halooglasi;2.0 stan - Fontana Lux
134;Opština Savski venac , Dedinje , Krupanjska;450000;4.0;3358;halooglasi;4.0, renoviran, savršena lokacija, uknjižen 134m2
35;Opština Zvezdara , Lipov lad , Subotička;129000;1.5;3686;halooglasi;Namešten lep stan u kvalitetnoj zgradi
34;Opština Palilula , Karaburma , Aleksandra Fleminga;94900;1.0;2791;halooglasi;Lux Uknjizen stan sa namestajem 34m2
